date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death
2021-03-08,1379,33251,126,34756,8.372093023255815,1277
2021-03-09,2163,31788,208,34159,8.772669759595107,895
2021-03-10,1594,31867,140,33601,8.073817762399077,802
2021-03-11,1316,32877,119,34312,8.292682926829269,1201
2021-03-12,1439,35389,145,36973,9.154040404040405,1576
2021-03-13,1114,29516,130,30760,10.45016077170418,1317
2021-03-14,1135,28980,113,30228,9.054487179487179,1491
2021-03-15,1520,32209,113,33842,6.9197795468462955,958
2021-03-16,1543,33548,127,35218,7.604790419161676,651
2021-03-17,1647,32692,121,34460,6.843891402714933,693
2021-03-18,1462,33068,95,34625,6.101477199743096,853
2021-03-19,2157,32357,169,34683,7.265692175408427,1075
2021-03-20,2014,30317,126,32457,5.887850467289719,956
2021-03-21,1745,29001,127,30873,6.784188034188034,1078
2021-03-22,2241,34999,128,37368,5.403123680878007,718
2021-03-23,1798,34769,142,36709,7.31958762886598,553
2021-03-24,1864,32662,121,34647,6.095717884130982,938
2021-03-25,1843,32732,129,34704,6.54158215010142,753
2021-03-26,1577,31838,109,33524,6.465005931198102,1126
2021-03-27,1310,25910,115,27335,8.070175438596491,981
2021-03-28,1282,26692,94,28068,6.831395348837209,1042
2021-03-29,1327,33038,123,34488,8.482758620689655,851
2021-03-30,1692,36163,146,38001,7.94341675734494,618
2021-03-31,1813,35372,146,37331,7.452782031648801,548
2021-04-01,1868,33790,134,35792,6.693306693306693,729
2021-04-02,1513,32471,116,34100,7.120933087783916,948
2021-04-03,1380,28191,94,29665,6.377204884667571,816
2021-04-04,1401,28101,105,29607,6.97211155378486,842
2021-04-05,1820,32435,132,34387,6.762295081967213,708
2021-04-06,1654,37437,108,39199,6.129398410896708,532
2021-04-07,1654,38816,105,40575,5.969300739056282,362
2021-04-08,1527,36794,148,38469,8.835820895522389,749
2021-04-09,1764,34204,197,36165,10.04589495155533,821
2021-04-10,1337,28974,137,30448,9.294436906377204,867
2021-04-11,1411,29552,135,31098,8.73221216041397,864
2021-04-12,1445,34626,100,36171,6.472491909385113,740
2021-04-13,2551,37068,172,39791,6.316562614763129,468
2021-04-14,1813,33744,127,35684,6.54639175257732,533
2021-04-15,1755,35596,140,37491,7.387862796833773,751
2021-04-16,1536,34371,134,36041,8.023952095808383,782
2021-04-17,1312,29638,140,31090,9.641873278236915,794
2021-04-18,1644,29171,124,30939,7.013574660633484,807
2021-04-19,1787,35372,155,37314,7.981462409886715,627
2021-04-20,1689,33851,132,35672,7.248764415156507,499
2021-04-21,1664,34845,184,36693,9.956709956709958,463
2021-04-22,2538,36966,183,39687,6.725468577728775,746
2021-04-23,1931,34279,130,36340,6.307617661329452,767
2021-04-24,1460,30327,110,31897,7.006369426751593,784
2021-04-25,1617,33139,140,34896,7.968127490039841,835
2021-04-26,1820,37339,153,39312,7.754688291941206,654
2021-04-27,1844,38740,168,40752,8.34990059642147,435
2021-04-28,1632,40924,164,42720,9.131403118040089,467
2021-04-29,2613,37260,194,40067,6.911293195582473,546
2021-04-30,1748,36464,158,38370,8.289611752360965,832
2021-05-01,1378,29384,106,30868,7.142857142857142,753
2021-05-02,1479,30250,118,31847,7.3888541014402005,806
2021-05-03,1688,35744,152,37584,8.26086956521739,616
2021-05-04,1462,35117,145,36724,9.023024268823896,500
2021-05-05,1641,36065,146,37852,8.17011751538892,470
2021-05-06,1704,35949,158,37811,8.485499462943071,674
2021-05-07,1584,34994,133,36711,7.746068724519511,714
2021-05-08,1423,29142,115,30680,7.477243172951886,671
2021-05-09,1420,27668,127,29215,8.209437621202326,806
2021-05-10,1577,33204,138,34919,8.0466472303207,609
2021-05-11,1510,34628,126,36264,7.701711491442542,408
2021-05-12,1550,35561,147,37258,8.662345315262227,395
2021-05-13,1558,35242,148,36948,8.675263774912075,598
